date,gold_usd,silver_usd,lly_usd,wmt_usd,vrt_usd,ccj_usd,avgo_usd,jnj_usd,usdsek,gold_sek,silver_sek,gold_ret,silver_ret,lly_ret,wmt_ret,vrt_ret,ccj_ret,avgo_ret,jnj_ret,portfolio_ret
2013-05-24,1386.8000,22.4820,54.1400,25.7700,,21.9600,3.4100,86.8200,,,,-0.3736,-0.0533,-1.0961,1.2839,,0.7339,0.3827,-0.4472,0.0116
2013-05-27,,,,,,,,,6.6401,,,,,,,,,,,
2013-05-28,1379.1000,22.1800,54.5400,25.7733,,21.9000,3.4440,87.6100,6.7188,9265.90,149.02,-0.5552,-1.3433,0.7388,0.0129,,-0.2732,0.9971,0.9099,-0.0482
2013-05-29,1391.3000,22.4450,53.7500,25.4100,,21.9700,3.4430,85.6500,6.6472,9248.25,149.20,0.8846,1.1948,-1.4485,-1.4097,,0.3196,-0.0290,-2.2372,-0.2144
2013-05-30,1411.5000,22.6740,54.0800,25.2100,,22.1400,3.7820,85.9900,6.5665,9268.62,148.89,1.4519,1.0203,0.6140,-0.7871,,0.7738,9.8461,0.3970,1.5849
2013-05-31,1392.6000,22.2280,53.1600,24.9467,,21.6700,3.7730,84.1800,,,,-1.3390,-1.9670,-1.7012,-1.0446,,-2.1229,-0.2380,-2.1049,-1.4481
2013-06-03,1411.7000,22.7150,53.1400,25.2300,,21.7800,3.7300,84.7100,6.5384,9230.26,148.52,1.3715,2.1909,-0.0376,1.1358,,0.5076,-1.1397,0.6296,0.7918
2013-06-04,1397.1000,22.4000,52.5000,25.3133,,21.5700,3.7800,84.1000,6.5632,9169.45,147.02,-1.0342,-1.3868,-1.2044,0.3303,,-0.9642,1.3405,-0.7201,-0.6081
2013-06-05,1398.4000,22.4650,51.8100,25.0833,,21.3100,3.7000,83.6800,6.5867,9210.84,147.97,0.0931,0.2902,-1.3143,-0.9086,,-1.2054,-2.1164,-0.4994,-0.6913
2013-06-06,1415.7000,22.7010,52.0900,25.2100,,21.5900,3.6750,84.4600,6.5502,9273.08,148.70,1.2371,1.0505,0.5404,0.5050,,1.3139,-0.6757,0.9321,0.7752
2013-06-07,1383.0000,21.7370,52.4900,25.4433,,21.6300,3.7290,84.9100,,,,-2.3098,-4.2465,0.7679,0.9256,,0.1853,1.4694,0.5328,-0.6282
2013-06-10,1386.2000,21.9210,52.6400,25.2500,,21.6000,3.6830,85.1400,6.5730,9111.49,144.09,0.2314,0.8465,0.2858,-0.7599,,-0.1387,-1.2336,0.2709,-0.0414
2013-06-11,1377.0000,21.6450,51.9400,25.0833,,20.9500,3.6290,84.6900,6.5498,9019.13,141.77,-0.6637,-1.2591,-1.3298,-0.6601,,-3.0093,-1.4662,-0.5285,-1.1721
2013-06-12,1391.8000,21.7960,51.7800,24.9467,,20.5600,3.5980,83.7400,6.5058,9054.77,141.80,1.0748,0.6976,-0.3080,-0.5448,,-1.8616,-0.8542,-1.1217,-0.1331
